INFO  | 04/08/2026 09:52:43 AM | File run.py               | Line 223   | Config: config/experiments/mlp_diabetes_relu.yaml
INFO  | 04/08/2026 09:52:43 AM | File run.py               | Line 224   | Config hash: 2a24d29ce92fa91d226eec8e043d0cddf877cee2150ef2e865a51f6f454fe468
INFO  | 04/08/2026 09:52:43 AM | File run.py               | Line 225   | Save dir: ./exp/mlp_diabetes_relu_20260408_095243_2a24d29c
INFO  | 04/08/2026 09:52:43 AM | File run.py               | Line 236   | Task type: classification
INFO  | 04/08/2026 09:52:45 AM | File run.py               | Line 277   | === Starting Pretrain ===
INFO  | 04/08/2026 09:52:45 AM | File run.py               | Line 283   | === Starting Phase 1 ===
INFO  | 04/08/2026 09:52:46 AM | File experiment_runner.py | Line 851   | Model compiled with torch.compile(mode='reduce-overhead')
INFO  | 04/08/2026 09:52:49 AM | File experiment_runner.py | Line 211   | Epoch 1 | Val MSE = 1.138100
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 2 | Val MSE = 0.851325
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 3 | Val MSE = 0.734321
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 4 | Val MSE = 0.681743
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 5 | Val MSE = 0.638361
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 6 | Val MSE = 0.604113
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 7 | Val MSE = 0.582144
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 8 | Val MSE = 0.572132
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 9 | Val MSE = 0.566397
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 10 | Val MSE = 0.563320
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 11 | Val MSE = 0.562858
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 12 | Val MSE = 0.561455
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 13 | Val MSE = 0.560044
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 14 | Val MSE = 0.560105
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 15 | Val MSE = 0.559288
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 16 | Val MSE = 0.556832
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 17 | Val MSE = 0.553410
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 18 | Val MSE = 0.550762
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 19 | Val MSE = 0.547513
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 20 | Val MSE = 0.544397
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 21 | Val MSE = 0.541458
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 22 | Val MSE = 0.541148
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 23 | Val MSE = 0.542513
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 24 | Val MSE = 0.544396
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 25 | Val MSE = 0.542452
INFO  | 04/08/2026 09:52:52 AM | File experiment_runner.py | Line 211   | Epoch 26 | Val MSE = 0.537311
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 27 | Val MSE = 0.535793
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 28 | Val MSE = 0.535507
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 29 | Val MSE = 0.538693
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 30 | Val MSE = 0.539533
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 31 | Val MSE = 0.537948
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 32 | Val MSE = 0.535781
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 33 | Val MSE = 0.534755
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 34 | Val MSE = 0.535821
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 35 | Val MSE = 0.537830
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 36 | Val MSE = 0.536966
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 37 | Val MSE = 0.535497
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 38 | Val MSE = 0.534652
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 39 | Val MSE = 0.535633
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 40 | Val MSE = 0.538802
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 41 | Val MSE = 0.546122
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 42 | Val MSE = 0.550088
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 43 | Val MSE = 0.552175
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 44 | Val MSE = 0.554024
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 45 | Val MSE = 0.553715
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 46 | Val MSE = 0.553346
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 47 | Val MSE = 0.550628
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 48 | Val MSE = 0.546813
INFO  | 04/08/2026 09:52:53 AM | File experiment_runner.py | Line 211   | Epoch 49 | Val MSE = 0.545693
