INFO  | 04/08/2026 09:54:38 AM | File run.py               | Line 223   | Config: config/experiments/mlp_wine_reg_relu.yaml
INFO  | 04/08/2026 09:54:38 AM | File run.py               | Line 224   | Config hash: 901286cef36b1044f4f735d6c83ca28e8b595646c35d6beb4af2918ce210ebae
INFO  | 04/08/2026 09:54:38 AM | File run.py               | Line 225   | Save dir: ./exp/mlp_wine_reg_relu_20260408_095438_901286ce
INFO  | 04/08/2026 09:54:38 AM | File run.py               | Line 236   | Task type: classification
INFO  | 04/08/2026 09:54:40 AM | File run.py               | Line 277   | === Starting Pretrain ===
INFO  | 04/08/2026 09:54:40 AM | File run.py               | Line 283   | === Starting Phase 1 ===
INFO  | 04/08/2026 09:54:42 AM | File experiment_runner.py | Line 851   | Model compiled with torch.compile(mode='reduce-overhead')
INFO  | 04/08/2026 09:54:45 AM | File experiment_runner.py | Line 211   | Epoch 1 | Val MSE = 1.314663
INFO  | 04/08/2026 09:54:46 AM | File experiment_runner.py | Line 211   | Epoch 2 | Val MSE = 0.963690
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 3 | Val MSE = 0.871673
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 4 | Val MSE = 0.822362
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 5 | Val MSE = 0.776093
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 6 | Val MSE = 0.750270
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 7 | Val MSE = 0.742810
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 8 | Val MSE = 0.742733
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 9 | Val MSE = 0.738324
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 10 | Val MSE = 0.735238
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 11 | Val MSE = 0.732135
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 12 | Val MSE = 0.726801
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 13 | Val MSE = 0.732403
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 14 | Val MSE = 0.728273
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 15 | Val MSE = 0.720795
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 16 | Val MSE = 0.721180
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 17 | Val MSE = 0.718796
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 18 | Val MSE = 0.721217
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 19 | Val MSE = 0.723730
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 20 | Val MSE = 0.729542
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 21 | Val MSE = 0.712314
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 22 | Val MSE = 0.715760
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 23 | Val MSE = 0.712283
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 24 | Val MSE = 0.696637
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 25 | Val MSE = 0.700649
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 26 | Val MSE = 0.705974
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 27 | Val MSE = 0.708556
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 28 | Val MSE = 0.720653
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 29 | Val MSE = 0.707650
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 30 | Val MSE = 0.702185
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 31 | Val MSE = 0.702152
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 32 | Val MSE = 0.700010
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 33 | Val MSE = 0.693873
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 34 | Val MSE = 0.706661
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 35 | Val MSE = 0.707793
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 36 | Val MSE = 0.706656
INFO  | 04/08/2026 09:54:47 AM | File experiment_runner.py | Line 211   | Epoch 37 | Val MSE = 0.702993
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 38 | Val MSE = 0.692803
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 39 | Val MSE = 0.704079
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 40 | Val MSE = 0.697594
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 41 | Val MSE = 0.697056
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 42 | Val MSE = 0.704424
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 43 | Val MSE = 0.699633
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 44 | Val MSE = 0.692418
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 45 | Val MSE = 0.685821
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 46 | Val MSE = 0.674226
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 47 | Val MSE = 0.682463
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 48 | Val MSE = 0.682928
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 49 | Val MSE = 0.680626
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 50 | Val MSE = 0.687585
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 51 | Val MSE = 0.704006
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 52 | Val MSE = 0.687027
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 53 | Val MSE = 0.688547
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 54 | Val MSE = 0.693147
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 55 | Val MSE = 0.698484
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 56 | Val MSE = 0.693099
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 57 | Val MSE = 0.681585
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 58 | Val MSE = 0.682894
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 59 | Val MSE = 0.669346
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 60 | Val MSE = 0.674225
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 61 | Val MSE = 0.672864
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 62 | Val MSE = 0.691447
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 63 | Val MSE = 0.690719
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 64 | Val MSE = 0.668966
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 65 | Val MSE = 0.680466
INFO  | 04/08/2026 09:54:48 AM | File experiment_runner.py | Line 211   | Epoch 66 | Val MSE = 0.691074
