INFO  | 04/08/2026 09:54:47 AM | File run.py               | Line 223   | Config: config/experiments/mlp_wine_reg_relu.yaml
INFO  | 04/08/2026 09:54:47 AM | File run.py               | Line 224   | Config hash: d57bf6e96592d2753466f5777bca5b69f59a05fc53d3abda735f623b8ff494ab
INFO  | 04/08/2026 09:54:47 AM | File run.py               | Line 225   | Save dir: ./exp/mlp_wine_reg_relu_20260408_095447_d57bf6e9
INFO  | 04/08/2026 09:54:47 AM | File run.py               | Line 236   | Task type: classification
INFO  | 04/08/2026 09:54:48 AM | File run.py               | Line 277   | === Starting Pretrain ===
INFO  | 04/08/2026 09:54:48 AM | File run.py               | Line 283   | === Starting Phase 1 ===
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 851   | Model compiled with torch.compile(mode='reduce-overhead')
INFO  | 04/08/2026 09:54:53 AM | File experiment_runner.py | Line 211   | Epoch 1 | Val MSE = 0.976804
INFO  | 04/08/2026 09:54:55 AM | File experiment_runner.py | Line 211   | Epoch 2 | Val MSE = 0.902330
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 3 | Val MSE = 0.784612
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 4 | Val MSE = 0.730199
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 5 | Val MSE = 0.693963
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 6 | Val MSE = 0.669074
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 7 | Val MSE = 0.667347
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 8 | Val MSE = 0.659997
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 9 | Val MSE = 0.648809
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 10 | Val MSE = 0.652072
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 11 | Val MSE = 0.645007
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 12 | Val MSE = 0.632877
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 13 | Val MSE = 0.614680
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 14 | Val MSE = 0.614173
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 15 | Val MSE = 0.617927
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 16 | Val MSE = 0.612592
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 17 | Val MSE = 0.622477
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 18 | Val MSE = 0.616479
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 19 | Val MSE = 0.610869
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 20 | Val MSE = 0.610974
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 21 | Val MSE = 0.610371
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 22 | Val MSE = 0.607418
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 23 | Val MSE = 0.611492
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 24 | Val MSE = 0.611313
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 25 | Val MSE = 0.608865
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 26 | Val MSE = 0.612346
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 27 | Val MSE = 0.613851
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 28 | Val MSE = 0.610345
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 29 | Val MSE = 0.605274
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 30 | Val MSE = 0.606256
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 31 | Val MSE = 0.611754
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 32 | Val MSE = 0.607004
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 33 | Val MSE = 0.604664
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 34 | Val MSE = 0.613075
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 35 | Val MSE = 0.607821
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 36 | Val MSE = 0.594288
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 37 | Val MSE = 0.593707
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 38 | Val MSE = 0.597065
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 39 | Val MSE = 0.594462
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 40 | Val MSE = 0.600537
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 41 | Val MSE = 0.604883
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 42 | Val MSE = 0.598935
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 43 | Val MSE = 0.594546
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 44 | Val MSE = 0.595276
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 45 | Val MSE = 0.592503
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 46 | Val MSE = 0.593272
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 47 | Val MSE = 0.603086
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 48 | Val MSE = 0.598166
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 49 | Val MSE = 0.592629
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 50 | Val MSE = 0.593318
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 51 | Val MSE = 0.595746
INFO  | 04/08/2026 09:54:56 AM | File experiment_runner.py | Line 211   | Epoch 52 | Val MSE = 0.597983
