INFO  | 07/26/2026 04:42:31 PM | File run.py               | Line 232   | Config: config/experiments/seq_mnist_min_gated.yaml
INFO  | 07/26/2026 04:42:31 PM | File run.py               | Line 233   | Config hash: de7550c8d04642c61e9062dffe227ae48f7201b8032e72f2cf5a8954c98fafa4
INFO  | 07/26/2026 04:42:31 PM | File run.py               | Line 234   | Save dir: ./exp/seq_mnist_min_gated_20260726_164231_de7550c8
INFO  | 07/26/2026 04:42:31 PM | File run.py               | Line 245   | Task type: seq_mnist
INFO  | 07/26/2026 04:42:33 PM | File seq_mnist_runner.py  | Line 129   | [Seed 51] (1/1) Training SeqMinGatedRNN (21068 params) for 150 epochs...
INFO  | 07/26/2026 04:48:31 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 1/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 04:54:31 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 2/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:00:31 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 3/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:06:31 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 4/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:12:31 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 5/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:18:29 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 6/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:24:27 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 7/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:30:27 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 8/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:36:27 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 9/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:42:28 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 10/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:48:28 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 11/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 05:54:34 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 12/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 06:00:43 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 13/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 06:06:45 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 14/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 06:13:05 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 15/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 06:19:17 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 16/150: Loss=2.3029 Acc=0.0978 (best=0.0978)
INFO  | 07/26/2026 06:25:24 PM | File seq_mnist_runner.py  | Line 186   |   Seed 51 Ep 17/150: Loss=nan Acc=0.0980 (best=0.0980)
INFO  | 07/26/2026 06:25:24 PM | File seq_mnist_runner.py  | Line 193   |   Seed 51 NaN detected, stopping this seed.
INFO  | 07/26/2026 06:25:24 PM | File seq_mnist_runner.py  | Line 196   | [Seed 51] Done. Best Acc: 0.0980
INFO  | 07/26/2026 06:25:24 PM | File seq_mnist_runner.py  | Line 204   | FINAL: SeqMinGatedRNN Acc = 0.0980 ± 0.0000 (1 seeds)
INFO  | 07/26/2026 06:25:24 PM | File run.py               | Line 327   | Experiment completed!
