name,condition_exp,reference_exp,metric,mode,lower_better,condition_n,reference_n,comparison_n,common_seeds,condition_values,reference_values,condition_mean,reference_mean,mean_difference,ci_low,ci_high,parametric_test,parametric_p,nonparametric_test,nonparametric_p,effect_name,effect_size,direction,status,notes
transformer_d64_innernet_vs_gelu,transformer_wikitext_2arg_small,transformer_wikitext_baseline_small,best_val_ppl,paired,True,5,5,5,42;43;44;45;46,111.510489297;113.233809847;112.766089836;112.321357189;114.320794132,115.1698172;116.358896922;117.315230689;116.772538235;117.555363911,112.83050806032588,116.63436939123685,-3.8038613309109564,-4.3319943399848455,-3.2976248625203963,paired_t,0.00021803052098319736,wilcoxon,0.0625,Cohen dz,-5.701938275296125,condition_better,complete,
transformer_d128_innernet_vs_gelu,transformer_wikitext_2arg,transformer_wikitext_baseline,best_val_ppl,paired,True,5,5,5,42;43;44;45;46,93.8331208804;95.5599471625;94.5240652053;96.7152829894;95.6716956299,95.6541341438;95.1574434102;97.3563944102;97.8701408311;98.0553863122,95.26082237351332,96.81869982148814,-1.5578774479748347,-2.4506106075623166,-0.4869030539464944,paired_t,0.050950363214209524,wilcoxon,0.125,Cohen dz,-1.2334469134563817,condition_better,complete,
transformer_d192_innernet_vs_gelu,transformer_wikitext_scale_2arg_d192,transformer_wikitext_scale_gelu_d192,best_val_ppl,paired,True,5,5,5,42;43;44;45;46,87.6759932554;87.6820627108;88.9481643214;90.0430668102;87.7726547171,89.2825843476;89.3934579374;90.5892802157;88.327787261;87.9502435268,88.42438836298723,89.10867065771298,-0.6842822947257616,-1.6623226668071396,0.651370922263905,paired_t,0.3614204541734609,wilcoxon,0.625,Cohen dz,-0.46040798056020465,condition_better,complete,
transformer_d256_innernet_vs_gelu,transformer_wikitext_2arg_large,transformer_wikitext_baseline_large,best_val_ppl,paired,True,5,5,5,42;43;44;45;46,83.2341610787;87.1520164292;85.2625165777;83.2408354358;84.2044991083,84.8179379538;86.3901876707;84.9865829001;86.8321305241;87.2050074246,84.61880572595408,86.04636929462701,-1.4275635686729289,-2.953476736800411,0.09834959945455353,paired_t,0.17320883841521376,wilcoxon,0.3125,Cohen dz,-0.740265853632809,condition_better,complete,
transformer_d128_innernet_vs_swiglu,transformer_wikitext_2arg,transformer_wikitext_swiglu,best_val_ppl,paired,True,5,5,5,42;43;44;45;46,93.8331208804;95.5599471625;94.5240652053;96.7152829894;95.6716956299,92.3048404616;91.5117938466;93.046160489;94.9353668595;93.1046520901,95.26082237351332,92.98056274936827,2.2802596241450432,1.5584572800307597,3.2378816407623874,paired_t,0.00916972429158437,wilcoxon,0.0625,Cohen dz,2.1109708306119352,reference_better,complete,
cnn_cifar10_2arg_vs_relu,cnn_cifar_2arg,cnn_cifar_relu,test_accuracy,paired,False,5,5,5,42;43;44;45;1234,0.7969;0.7894;0.7793;0.7762;0.7868,0.7347;0.7421;0.7479;0.735;0.7398,0.78572,0.7398999999999999,0.045820000000000013,0.037559999999999996,0.05502000000000003,paired_t,0.0007907646927549909,wilcoxon,0.0625,Cohen dz,4.093486985322792,condition_better,complete,
cnn_cifar10_2arg_vs_relu_ln,cnn_cifar_2arg,cnn_cifar_relu_ln,test_accuracy,paired,False,5,4,4,42;43;44;45,0.7969;0.7894;0.7793;0.7762,0.7469;0.7506;0.7564;0.7518,0.78545,0.751425,0.034025,0.023650000000000004,0.044399999999999995,paired_t,0.013104245282326855,wilcoxon,0.125,Cohen dz,2.6504293742872145,condition_better,complete,missing reference seeds: 1234
cnn_cifar10_2arg_vs_relu_matched,cnn_cifar_2arg,cnn_cifar_relu_matched,test_accuracy,paired,False,5,5,5,42;43;44;45;1234,0.7969;0.7894;0.7793;0.7762;0.7868,0.7117;0.7072;0.7111;0.7018;0.7018,0.78572,0.70672,0.07900000000000003,0.07284000000000004,0.08452000000000004,paired_t,1.883743635486463e-05,wilcoxon,0.0625,Cohen dz,10.592820158336874,condition_better,complete,
cnn_cifar100_2arg_vs_relu,cnn_cifar100_big_2arg,cnn_cifar100_big_relu,test_accuracy,paired,False,5,5,5,42;43;44;45;1234,0.5441;0.5378;0.5458;0.521;0.5384,0.5048;0.4942;0.5008;0.5121;0.488,0.53742,0.49998,0.03743999999999999,0.02278,0.04709999999999999,paired_t,0.00701940445434243,wilcoxon,0.0625,Cohen dz,2.2774169228072654,condition_better,complete,
cnn_cifar100_2arg_vs_swiglu,cnn_cifar100_big_2arg,cnn_cifar100_swiglu,test_accuracy,paired,False,5,5,5,42;43;44;45;1234,0.5441;0.5378;0.5458;0.521;0.5384,0.4721;0.4568;0.4673;0.4635;0.4644,0.53742,0.46482,0.07259999999999998,0.06459999999999999,0.07869999999999996,paired_t,5.957760689713252e-05,wilcoxon,0.0625,Cohen dz,7.924848084233357,condition_better,complete,
