experiment_dir,exp_name,task_type,model,dataset,config_seed,config_hash,markers,result_files,audit_status,notes
exp/_validate_tmp,mixer_mnist_2arg,mixer,InnerNetMLPMixer,mnist,1234,5b318bc7e9dc46a95362ffbe9e616fcef30ffd1b9fa99d855e5f57e9f605e5f1,,,incomplete,
exp/ae_cifar_2arg_20260408_094233_b34ff086,ae_cifar_2arg,classification,InnerNetAE,cifar10,1234,b34ff08676e3d045cdcd71ff87c16986a2735a05fe1100fe52a229c6f67cd2b5,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_2arg_20260408_094236_2339fabe,ae_cifar_2arg,classification,InnerNetAE,cifar10,42,2339fabe4491f28b865b816528d87d9113e8985253959f269da107e971cd9de5,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_2arg_20260408_094435_366bfb94,ae_cifar_2arg,classification,InnerNetAE,cifar10,43,366bfb94b670db881da0f52045bdf56b7d8f2ed8b23e9d513d597cd6d2a41244,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_2arg_20260408_161234_47f1fadc,ae_cifar_2arg,classification,InnerNetAE,cifar10,45,47f1fadc5e4e1bee199ea4f58130c590bcea9516646445b6ec857b8493e887b6,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_2arg_20260408_161234_9209d241,ae_cifar_2arg,classification,InnerNetAE,cifar10,44,9209d2416b700e0a3a3c1ee249319aa9602d4b38e1c380e96ba333839998b643,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_relu_20260408_094658_d3ef46df,ae_cifar_relu,classification,BaselineAE,cifar10,42,d3ef46df398ab216b32940aba9a5b009638b8c3e0c568530cf9223d97b9a783d,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_relu_20260408_094658_f27c8c2c,ae_cifar_relu,classification,BaselineAE,cifar10,1234,f27c8c2ca39cddbd02ed1267f2727fb57a26422b56969a15aa31c03d343df43a,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_relu_20260408_094935_7bc2a33d,ae_cifar_relu,classification,BaselineAE,cifar10,43,7bc2a33d51485203a483f37d5b343cf2cc37d61118b86026a40fc1a5b15cedc1,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_relu_20260408_161234_517689b8,ae_cifar_relu,classification,BaselineAE,cifar10,45,517689b86e49e369bc84fcc89e1df47fb45ed86036788d73b99e7c33d4896f36,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_cifar_relu_20260408_161234_b23e17ae,ae_cifar_relu,classification,BaselineAE,cifar10,44,b23e17ae7184b06385c4fa8935b9cdb61114145f0ac833d874f794782fd871da,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_2arg_20260408_092731_051e4fe1,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,1234,051e4fe118a2514efec67c84d4ab4613cd66a914fbb102a56a26a151910aa170,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_2arg_20260408_093218_94a5a036,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,42,94a5a03605f44f08ea1128b019fd6a8aebafb1ea8c43d1b295c6b899c4233d24,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_2arg_20260408_093424_53627110,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,43,536271102829d8cfca091ceacdc1d7d3eca17f4b20e26b34652c0d99b9860317,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_2arg_20260408_161234_7f684358,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,44,7f6843585a006ca68e3c777ec406d92f4299ea568b854f7f8485519207c0ee19,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_2arg_20260408_161234_936c314b,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,45,936c314b4509f70aec456bb7c8338476c0cb3e1ba4675cf2ac3c045fa825658d,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_relu_20260408_093559_90748988,ae_fmnist_relu,classification,BaselineAE,fashionmnist,1234,907489886029d484aae7878b532e7f25eef8f4acd8438858e6b039fa10446387,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_relu_20260408_093915_a792ff33,ae_fmnist_relu,classification,BaselineAE,fashionmnist,42,a792ff337193d233c0c31f68f6144193bb13268158f7e90a518b45e7f140c16d,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_relu_20260408_093941_e94b9009,ae_fmnist_relu,classification,BaselineAE,fashionmnist,43,e94b9009ed95a9d094c9a274e376d67dc83cd4095bce9846a712c2d0450ca03e,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_relu_20260408_161234_4ab37a0a,ae_fmnist_relu,classification,BaselineAE,fashionmnist,45,4ab37a0a0fe67960aaa88330df96e43dbdcb53addd5348f650e4cf8b4fe6c02c,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_fmnist_relu_20260408_161234_91554368,ae_fmnist_relu,classification,BaselineAE,fashionmnist,44,9155436837841767ddfa6ff7431aaa113fe00b16b807aa33d55e36453c005fa7,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_2arg_20260407_020851_b8cedfb4,ae_mnist_2arg,classification,InnerNetAE,mnist,1234,b8cedfb4763822164d878d39ece742393feda5b013c99785daa05092f406948b,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_2arg_20260407_020911_ea186633,ae_mnist_2arg,classification,InnerNetAE,mnist,42,ea1866334be719e7be1c4678b6c1a55732f304b19695c2370a51b0764e59270b,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_2arg_20260407_021100_220f3ebc,ae_mnist_2arg,classification,InnerNetAE,mnist,43,220f3ebcd91bfa867f625f1fe578aa18720b6fac5de8b77a2a1d80f0f70e68c8,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_2arg_20260407_021135_a5ce8498,ae_mnist_2arg,classification,InnerNetAE,mnist,44,a5ce849884ed53e0f6d4e604392e1ae2c8b97fa64b82a4aa6ce3d8b6fd11142b,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_2arg_20260407_021149_4e7fa3dd,ae_mnist_2arg,classification,InnerNetAE,mnist,45,4e7fa3dd7d67013f33ef2632646069e79d22b6111d638e0486f1b5030a109e9e,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_20260407_021149_300a32d2,ae_mnist_relu,classification,BaselineAE,mnist,1234,300a32d2919f7978b629ad8104c224ca32ba036220df09d091d8388ebf2b15dd,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_20260407_021401_1bb08f42,ae_mnist_relu,classification,BaselineAE,mnist,42,1bb08f4295070eee97ef76502594b5e2d06f3e8ab80ea915d81ff9a7466f3248,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_20260407_021512_93c90d42,ae_mnist_relu,classification,BaselineAE,mnist,43,93c90d42fe4fefd613fa1b9e130235c56aa7e986df5c8cb84f15e76aeb2db856,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_20260407_021646_950eda03,ae_mnist_relu,classification,BaselineAE,mnist,44,950eda038b22a45998507afd6b728db47967ce1ccbb0205c2a652162d0d6c0ef,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
