exp_name,task_type,model,dataset,metric,selection,config_signature,audit_status,raw_row_count,seed_count,seeds,values,mean,sample_sd,population_sd,min,max,identical_duplicate_rows,conflicting_seed_count,notes
ae_cifar_2arg,classification,InnerNetAE,cifar10,test_mse,reported_scalar,6bc31816246cac9d19359753b5304f7d6d7a8f45a333f4c36199687fcbfad554,reportable,5,5,1234;42;43;44;45,0.00810473788679;0.00808933813274;0.00811796477139;0.00807811691612;0.00807700051367,0.00809343164414,1.76846348124e-05,1.58176182391e-05,0.00807700051367,0.00811796477139,0,0,
ae_cifar_relu,classification,BaselineAE,cifar10,test_mse,reported_scalar,2d689a39020d30612a47fe8d21d3250df07016a738d961f6a4007ce90755125c,reportable,5,5,1234;42;43;44;45,0.010372406964;0.0107330192775;0.0104752894402;0.0108950512648;0.0118033344314,0.0108558202755,0.000568527566956,0.000508506514719,0.010372406964,0.0118033344314,0,0,
ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,test_mse,reported_scalar,acd44fd4058b9450b16e2d66665f39fdd5e6b5df3d7a76a8db2419448de16d81,reportable,5,5,1234;42;43;44;45,0.00762605596632;0.0076140754208;0.00760413356125;0.00765883254111;0.00770096886903,0.0076408132717,3.94381853401e-05,3.52745853319e-05,0.00760413356125,0.00770096886903,0,0,
ae_fmnist_relu,classification,BaselineAE,fashionmnist,test_mse,reported_scalar,557199e65ebf5d8de6f19a6773c91cf6e0e3349c2bf54a77e7d0ce1a9a0240da,reportable,5,5,1234;42;43;44;45,0.0089074564904;0.00837867202163;0.00852003436238;0.00829326363206;0.00888640500307,0.00859716630191,0.000285475457209,0.000255337011291,0.00829326363206,0.0089074564904,0,0,
ae_mnist_2arg,classification,InnerNetAE,mnist,test_mse,reported_scalar,d32501668032de03907caefa8013bb5233eb8eabff2effb2f1cb2e121ba8581d,reportable,5,5,1234;42;43;44;45,0.003959447366;0.0038714551311;0.00390267692134;0.0038415850129;0.00397447175197,0.00390992723666,5.66161796533e-05,5.06390505324e-05,0.0038415850129,0.00397447175197,0,0,
ae_mnist_relu,classification,BaselineAE,mnist,test_mse,reported_scalar,fb2c6af3870f5934e6190e076d93c29057b4f9f562338781fb5852ec8d21f60e,reportable,5,5,1234;42;43;44;45,0.00785454593971;0.00616843644977;0.0057024060145;0.00680412570164;0.00766891486645,0.00683968579441,0.000930431011562,0.000832202796091,0.0057024060145,0.00785454593971,0,0,
ae_mnist_relu_matched,classification,BaselineAE,mnist,test_mse,reported_scalar,68c2c38e334fdfc7161efb27e6c2785be662e52af53cffef04a47362d598eeb2,reportable,5,5,1234;42;43;44;45,0.00558414229974;0.00509643515646;0.00646144764647;0.00642861484289;0.00576183130965,0.00586649425104,0.000581725250302,0.000520310881562,0.00509643515646,0.00646144764647,0,0,
ae_mnist_scale_2arg_l16,classification,InnerNetAE,mnist,test_mse,reported_scalar,e81db421cb6a69f0e9d5d73bdcc91e1560f01cdc80371fcf073bce3f25c46874,reportable,3,3,1234;42;43,0.00757922678217;0.00748043706492;0.00751466640458,0.00752477675055,5.01648919146e-05,4.09594627309e-05,0.00748043706492,0.00757922678217,0,0,
ae_mnist_scale_2arg_l32,classification,InnerNetAE,mnist,test_mse,reported_scalar,83b3e7c6ad47b6d967cc90181b81e09b799bcb72c91575b1a49117e8fe0f3aff,reportable,3,3,1234;42;43,0.00395625771359;0.003871455146;0.00388201740421,0.00390324342127,4.62144643727e-05,3.77339521497e-05,0.003871455146,0.00395625771359,0,0,
ae_mnist_scale_2arg_l64,classification,InnerNetAE,mnist,test_mse,reported_scalar,666b6452b69b9f3d6ed41767a4ba46ae739bc847eb0e938a806272756c37b460,reportable,3,3,1234;42;43,0.0026034517426;0.00253887960762;0.00253648683429,0.0025596060615,3.79903165881e-05,3.10189636026e-05,0.00253648683429,0.0026034517426,0,0,
ae_mnist_scale_2arg_l8,classification,InnerNetAE,mnist,test_mse,reported_scalar,39dcd83438a3e70e10faee05d9c833ad72035c564a9f3dc2e7f22ce1364d1e71,reportable,3,3,1234;42;43,0.0142153866142;0.0140110776842;0.0141644430071,0.0141303024352,0.000106347161285,8.68320935805e-05,0.0140110776842,0.0142153866142,0,0,
ae_mnist_scale_relu_l16,classification,BaselineAE,mnist,test_mse,reported_scalar,709ace46391384e714a52b657c67df4e1dee5d810d8bf5188a08c46ebeacd567,reportable,3,3,1234;42;43,0.0110257021248;0.0108832120553;0.0121738327459,0.011360915642,0.000707602655663,0.000577755149004,0.0108832120553,0.0121738327459,0,0,
ae_mnist_scale_relu_l32,classification,BaselineAE,mnist,test_mse,reported_scalar,5712ba75ed9b83281a5660a044621430c180e03afe108e94423ec8aaceb6f57b,reportable,3,3,1234;42;43,0.00785454589203;0.0061677662842;0.00618952504471,0.00673727907365,0.000967642608876,0.000790076881707,0.0061677662842,0.00785454589203,0,0,
ae_mnist_scale_relu_l64,classification,BaselineAE,mnist,test_mse,reported_scalar,340efe236fd5090865e6db63790fed92444cc2ce2682de6485559b6566061921,reportable,3,3,1234;42;43,0.00386100970171;0.00390203999691;0.00492937790006,0.00423080919956,0.000605325980999,0.000494246593832,0.00386100970171,0.00492937790006,0,0,
ae_mnist_scale_relu_l8,classification,BaselineAE,mnist,test_mse,reported_scalar,5b316bcc6ed4d8dffd3420c5c85c69b83acf5504e460dd755dbdde2e50e35604,reportable,3,3,1234;42;43,0.0199105245084;0.0175634375244;0.0174393788949,0.0183044469759,0.00139228639874,0.00113679708425,0.0174393788949,0.0199105245084,0,0,
cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,test_accuracy,reported_scalar,782e516ee9510a1dad58125bcbb04d44673c7dce4b5e371cd85e665371afcccc,reportable,5,5,1234;42;43;44;45,0.5384;0.5441;0.5378;0.5458;0.521,0.53742,0.00981794275803,0.00878143496246,0.521,0.5458,0,0,
cnn_cifar100_big_relu,classification,BaselineCNN,cifar100,test_accuracy,reported_scalar,7e7a42606cc80a30a4567064b729ad9530531d89aca986d4e0fe97c6c49ab69a,reportable,5,5,1234;42;43;44;45,0.488;0.5048;0.4942;0.5008;0.5121,0.49998,0.00932373315791,0.00833940045807,0.488,0.5121,0,0,
cnn_cifar100_swiglu,classification,SwiGLUCNN,cifar100,test_accuracy,reported_scalar,36c1bba639c96db3c8ffa1f32dfe29f153b77f1501bb18371c987ad1079327a9,reportable,5,5,1234;42;43;44;45,0.4644;0.4721;0.4568;0.4673;0.4635,0.46482,0.0055988391654,0.00500775398757,0.4568,0.4721,0,0,
cnn_cifar_1arg,classification,XorNeuronConv,cifar10,test_accuracy,reported_scalar,9e660ac04d1338e8947bb2ceb678cc8b4be49183ec53d7c98ef146fc016f1ade,reportable,5,5,1234;42;43;44;45,0.8024;0.796;0.8122;0.8152;0.8254,0.81024,0.0114292606935,0.0102226415373,0.796,0.8254,0,0,
cnn_cifar_2arg,classification,XorNeuronConv,cifar10,test_accuracy,reported_scalar,2ea233231a0c91027cab1495daa2418aed7f3492e82017eacc96bb468a12fb3a,reportable,5,5,1234;42;43;44;45,0.7868;0.7969;0.7894;0.7793;0.7762,0.78572,0.00823935677101,0.00736950473234,0.7762,0.7969,0,0,
cnn_cifar_relu,classification,BaselineCNN,cifar10,test_accuracy,reported_scalar,687c39df0f6e7e20bbcec0462fe7d0f57bfa8a46dea55abb330d4e2cbdf4ca5c,reportable,5,5,1234;42;43;44;45,0.7398;0.7347;0.7421;0.7479;0.735,0.7399,0.00547494292208,0.00489693781868,0.7347,0.7479,0,0,
cnn_cifar_relu_ln,classification,BaselineCNN,cifar10,test_accuracy,reported_scalar,94ad1ed55c0268fa7785a7757965d01c7cabcc2f099bd4858ca1738ff9badf10,reportable,4,4,42;43;44;45,0.7469;0.7506;0.7564;0.7518,0.751425,0.0039178012541,0.00339291541303,0.7469,0.7564,0,0,
cnn_cifar_relu_matched,classification,BaselineCNN,cifar10,test_accuracy,reported_scalar,58e568addca80e0670a71a1fe4d9b1e9786532f46e2bfe7f2eeb2c378cf07b13,reportable,5,5,1234;42;43;44;45,0.7018;0.7117;0.7072;0.7111;0.7018,0.70672,0.00481217206675,0.00430413754427,0.7018,0.7117,0,0,
cnn_cifar_scale_2arg_s0p25,classification,XorNeuronConv,cifar10,test_accuracy,reported_scalar,3d25e4442e27cf88256c0185762f83ba6a10f520164fccc6db6dee8bf9b4f19d,reportable,3,3,1234;42;43,0.427;0.5338;0.5274,0.496066666667,0.0598990261468,0.0489073500498,0.427,0.5338,0,0,
cnn_cifar_scale_2arg_s0p5,classification,XorNeuronConv,cifar10,test_accuracy,reported_scalar,fb4981e41bde5b9bb0151f4f54b3ba83ac0ea1c6e7bc9ca8de9ae79337ff94d8,reportable,3,3,1234;42;43,0.5945;0.6372;0.6411,0.624266666667,0.0258523370962,0.021108344848,0.5945,0.6411,0,0,
cnn_cifar_scale_2arg_s1,classification,XorNeuronConv,cifar10,test_accuracy,reported_scalar,36dff0a435e520d4fc7627fe6d60266d88acd3897523644c67b0a5b0ca17d4ef,reportable,3,3,1234;42;43,0.7933;0.7889;0.7801,0.787433333333,0.00672111101927,0.00548776416727,0.7801,0.7933,0,0,
cnn_cifar_scale_relu_s0p25,classification,BaselineCNN,cifar10,test_accuracy,reported_scalar,1056c474d90c114dfd54bf8e5042dbfe28049eabf839650732f1d7f856fb92ac,reportable,3,3,1234;42;43,0.5374;0.5264;0.5284,0.530733333333,0.00585946527708,0.0047842333648,0.5264,0.5374,0,0,
cnn_cifar_scale_relu_s0p5,classification,BaselineCNN,cifar10,test_accuracy,reported_scalar,130e209bb9714e8ea787048f61618bdfb287fbf4fbbb482cc720785ee280c4a7,reportable,3,3,1234;42;43,0.6799;0.677;0.6781,0.678333333333,0.0014640127504,0.00119536140514,0.677,0.6799,0,0,
cnn_cifar_scale_relu_s1,classification,BaselineCNN,cifar10,test_accuracy,reported_scalar,a4a48aa1502957151857ebda0d1d0a813ba38c1e23fe31469e38df5f8eb9d1ac,reportable,3,3,1234;42;43,0.7747;0.7671;0.7725,0.771433333333,0.00391066916695,0.00319304800395,0.7671,0.7747,0,0,
cnn_cifar_scale_relu_s2,classification,BaselineCNN,cifar10,test_accuracy,reported_scalar,39b3a0d1bd5b217348aad6fc0c5661db8b71791f6ba0c73119fe88d89177980e,reportable,3,3,1234;42;43,0.8065;0.8033;0.7995,0.8031,0.00350428309359,0.00286123516452,0.7995,0.8065,0,0,
cnn_cifar_scale_relu_s4,classification,BaselineCNN,cifar10,test_accuracy,reported_scalar,87fb5f49e7c30f9e8af0f9f207c852f2f921b48ece1143af96a3fc2811523cf6,reportable,3,3,1234;42;43,0.8114;0.8128;0.8082,0.8108,0.00235796522451,0.00192527054376,0.8082,0.8128,0,0,
cnn_fmnist_1arg,classification,XorNeuronConv,fashionmnist,test_accuracy,reported_scalar,59d29acb333714dc0e8483129baca54a42f97576b3ed43e1898d40fc71b6a57a,reportable,1,1,1234,0.9146,0.9146,,0,0.9146,0.9146,0,0,
