experiment_dir,exp_name,task_type,model,dataset,condition,seed,metric,value,selection,selected_epoch,num_epochs,source_file,config_hash,audit_status
exp/ae_cifar_2arg_20260408_094233_b34ff086,ae_cifar_2arg,classification,InnerNetAE,cifar10,InnerNetAE,1234,test_mse,0.008104737886786461,reported_scalar,,,exp/ae_cifar_2arg_20260408_094233_b34ff086/test_results.p,b34ff08676e3d045cdcd71ff87c16986a2735a05fe1100fe52a229c6f67cd2b5,raw-verified
exp/ae_cifar_2arg_20260408_094236_2339fabe,ae_cifar_2arg,classification,InnerNetAE,cifar10,InnerNetAE,42,test_mse,0.008089338132739068,reported_scalar,,,exp/ae_cifar_2arg_20260408_094236_2339fabe/test_results.p,2339fabe4491f28b865b816528d87d9113e8985253959f269da107e971cd9de5,raw-verified
exp/ae_cifar_2arg_20260408_094435_366bfb94,ae_cifar_2arg,classification,InnerNetAE,cifar10,InnerNetAE,43,test_mse,0.00811796477138996,reported_scalar,,,exp/ae_cifar_2arg_20260408_094435_366bfb94/test_results.p,366bfb94b670db881da0f52045bdf56b7d8f2ed8b23e9d513d597cd6d2a41244,raw-verified
exp/ae_cifar_2arg_20260408_161234_47f1fadc,ae_cifar_2arg,classification,InnerNetAE,cifar10,InnerNetAE,45,test_mse,0.008077000513672829,reported_scalar,,,exp/ae_cifar_2arg_20260408_161234_47f1fadc/test_results.p,47f1fadc5e4e1bee199ea4f58130c590bcea9516646445b6ec857b8493e887b6,raw-verified
exp/ae_cifar_2arg_20260408_161234_9209d241,ae_cifar_2arg,classification,InnerNetAE,cifar10,InnerNetAE,44,test_mse,0.008078116916120053,reported_scalar,,,exp/ae_cifar_2arg_20260408_161234_9209d241/test_results.p,9209d2416b700e0a3a3c1ee249319aa9602d4b38e1c380e96ba333839998b643,raw-verified
exp/ae_cifar_relu_20260408_094658_d3ef46df,ae_cifar_relu,classification,BaselineAE,cifar10,BaselineAE,42,test_mse,0.010733019277453423,reported_scalar,,,exp/ae_cifar_relu_20260408_094658_d3ef46df/test_results.p,d3ef46df398ab216b32940aba9a5b009638b8c3e0c568530cf9223d97b9a783d,raw-verified
exp/ae_cifar_relu_20260408_094658_f27c8c2c,ae_cifar_relu,classification,BaselineAE,cifar10,BaselineAE,1234,test_mse,0.01037240696400404,reported_scalar,,,exp/ae_cifar_relu_20260408_094658_f27c8c2c/test_results.p,f27c8c2ca39cddbd02ed1267f2727fb57a26422b56969a15aa31c03d343df43a,raw-verified
exp/ae_cifar_relu_20260408_094935_7bc2a33d,ae_cifar_relu,classification,BaselineAE,cifar10,BaselineAE,43,test_mse,0.01047528944015503,reported_scalar,,,exp/ae_cifar_relu_20260408_094935_7bc2a33d/test_results.p,7bc2a33d51485203a483f37d5b343cf2cc37d61118b86026a40fc1a5b15cedc1,raw-verified
exp/ae_cifar_relu_20260408_161234_517689b8,ae_cifar_relu,classification,BaselineAE,cifar10,BaselineAE,45,test_mse,0.011803334431350232,reported_scalar,,,exp/ae_cifar_relu_20260408_161234_517689b8/test_results.p,517689b86e49e369bc84fcc89e1df47fb45ed86036788d73b99e7c33d4896f36,raw-verified
exp/ae_cifar_relu_20260408_161234_b23e17ae,ae_cifar_relu,classification,BaselineAE,cifar10,BaselineAE,44,test_mse,0.010895051264762878,reported_scalar,,,exp/ae_cifar_relu_20260408_161234_b23e17ae/test_results.p,b23e17ae7184b06385c4fa8935b9cdb61114145f0ac833d874f794782fd871da,raw-verified
exp/ae_fmnist_2arg_20260408_092731_051e4fe1,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,InnerNetAE,1234,test_mse,0.007626055966317654,reported_scalar,,,exp/ae_fmnist_2arg_20260408_092731_051e4fe1/test_results.p,051e4fe118a2514efec67c84d4ab4613cd66a914fbb102a56a26a151910aa170,raw-verified
exp/ae_fmnist_2arg_20260408_093218_94a5a036,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,InnerNetAE,42,test_mse,0.007614075420796871,reported_scalar,,,exp/ae_fmnist_2arg_20260408_093218_94a5a036/test_results.p,94a5a03605f44f08ea1128b019fd6a8aebafb1ea8c43d1b295c6b899c4233d24,raw-verified
exp/ae_fmnist_2arg_20260408_093424_53627110,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,InnerNetAE,43,test_mse,0.007604133561253548,reported_scalar,,,exp/ae_fmnist_2arg_20260408_093424_53627110/test_results.p,536271102829d8cfca091ceacdc1d7d3eca17f4b20e26b34652c0d99b9860317,raw-verified
exp/ae_fmnist_2arg_20260408_161234_7f684358,ae_fmnist_2arg,classification,InnerNetAE,fashionmnist,InnerNetAE,44,test_mse,0.007658832541108131,reported_scalar,,,exp/ae_fmnist_2arg_20260408_161234_7f684358/test_results.p,7f6843585a006ca68e3c777ec406d92f4299ea568b854f7f8485519207c0ee19,raw-verified
